type,node_id,action,arguments,success,completion,status,nominal_cost,nominal_cost_std_dev,measured_cost,mesured_cost_std_dev,estimated_cost,estimated_cost_std,residual_cost,residual_cost_std
2,move_action_node,move,r2d2_wp_control_wp2,False,0.0,,7.4480171529120325,0.0,9.010630692000001,0.0,8.879082285069414,0.0,1.5099941763157338,0.0
2,move_action_node,move,r2d2_wp2_wp_control,False,0.0,,7.588964790906109,0.0,13.300521488000001,0.0,13.160319320393665,0.0,5.6554758300513575,0.0
2,move_action_node,move,r2d2_wp_control_wp3,False,0.0,,7.34824510837279,0.0,9.950804344,0.0,10.333541463135383,0.0,2.755654083281363,0.0
2,move_action_node,move,r2d2_wp3_wp_control,False,0.0,,6.955386176254192,0.0,11.370844625,0.0,11.50832948791764,0.0,4.470452393912864,0.0
2,move_action_node,move,r2d2_wp_control_wp4,False,0.0,,4.8434003860124,0.0,6.500510741,0.0,6.367008677662891,0.0,1.603709529652757,0.0
2,move_action_node,move,r2d2_wp4_wp_control,False,0.0,,4.478197825511305,0.0,10.111248044,0.0,9.956443687260961,0.0,5.5711284757930795,0.0
2,move_action_node,move,r2d2_wp_control_wp1,False,0.0,,5.678139236067567,0.0,7.800570048000001,0.0,8.13264134155496,0.0,2.255259329354417,0.0
2,move_action_node,move,r2d2_wp1_wp_control,False,0.0,,5.098680634481125,0.0,9.801151179000001,0.0,9.84659052831593,0.0,4.720646284245248,0.0
2,move_action_node,move,r2d2_wp_control_wp2,False,0.0,,7.555468901379703,0.0,9.100716310000001,0.0,9.065463077695437,0.0,1.5311461156984725,0.0
2,move_action_node,move,r2d2_wp2_wp_control,False,0.0,,7.503584144348558,0.0,13.050737461,0.0,13.159059974399916,0.0,5.590482322011408,0.0
2,move_action_node,move,r2d2_wp_control_wp3,False,0.0,,7.405763259122964,0.0,10.000623376,0.0,10.161417342404327,0.0,2.6591777034387665,0.0
2,move_action_node,move,r2d2_wp3_wp_control,False,0.0,,6.845624317099267,0.0,11.650606598000001,0.0,11.31607671101213,0.0,4.671170326105586,0.0
2,move_action_node,move,r2d2_wp_control_wp4,False,0.0,,4.946012358746825,0.0,6.360788691000001,0.0,6.549721888399581,0.0,1.4903496112130084,0.0
2,move_action_node,move,r2d2_wp4_wp_control,False,0.0,,4.705019395182762,0.0,9.900587495,0.0,10.27614787097584,0.0,5.345792250207574,0.0
2,move_action_node,move,r2d2_wp_control_wp1,False,0.0,,5.557893455610253,0.0,8.150691608,0.0,7.81315278496467,0.0,2.457782623175616,0.0
2,move_action_node,move,r2d2_wp1_wp_control,False,0.0,,5.339913241478896,0.0,10.000594521,0.0,10.060559525724145,0.0,4.6846672814107615,0.0
2,move_action_node,move,r2d2_wp_control_wp2,False,0.0,,7.466426226892017,0.0,9.110674117,0.0,8.99757234259049,0.0,1.5990071803441788,0.0
2,move_action_node,move,r2d2_wp2_wp_control,False,0.0,,7.396886151266307,0.0,12.950564922000002,0.0,12.987368473277716,0.0,5.56840019124478,0.0
2,move_action_node,move,r2d2_wp_control_wp3,False,0.0,,7.374844762690907,0.0,9.950811488000001,0.0,10.034022466129674,0.0,2.609251116560963,0.0
2,move_action_node,move,r2d2_wp3_wp_control,False,0.0,,6.903381383161551,0.0,11.400658621,0.0,11.574551709267137,0.0,4.566834473145303,0.0
2,move_action_node,move,r2d2_wp_control_wp4,False,0.0,,4.865840381528512,0.0,6.650670310000001,0.0,6.356189992741521,0.0,1.6670378015680964,0.0
2,move_action_node,move,r2d2_wp4_wp_control,False,0.0,,4.68843675598077,0.0,10.160617866,0.0,10.034229006188344,0.0,5.421625566094568,0.0
2,move_action_node,move,r2d2_wp_control_wp1,False,0.0,,5.638185722299067,0.0,8.3107474,0.0,8.095968345474683,0.0,2.5866500558908063,0.0
2,move_action_node,move,r2d2_wp1_wp_control,False,0.0,,5.5736646088373725,0.0,10.000648472,0.0,10.258331890248133,0.0,4.530057230461881,0.0
2,move_action_node,move,r2d2_wp_control_wp2,False,0.0,,7.4643614515245185,0.0,8.950679872,0.0,9.063368631868697,0.0,1.5313939244229606,0.0
2,move_action_node,move,r2d2_wp2_wp_control,False,0.0,,7.39189830730112,0.0,13.421341099000001,0.0,12.9602984985459,0.0,5.84502575151724,0.0
2,move_action_node,move,r2d2_wp_control_wp3,False,0.0,,7.313161946797124,0.0,10.000736359000001,0.0,9.922413063358087,0.0,2.6562450939461115,0.0
2,move_action_node,move,r2d2_wp3_wp_control,False,0.0,,6.772249442333106,0.0,11.700693532,0.0,11.339083915478408,0.0,4.783800243058258,0.0
2,move_action_node,move,r2d2_wp_control_wp4,False,0.0,,4.9004033948568315,0.0,6.510915392,0.0,6.567441196424928,0.0,1.6331223189131399,0.0
2,move_action_node,move,r2d2_wp4_wp_control,False,0.0,,4.704054914951052,0.0,9.962038106000001,0.0,10.12568048104562,0.0,5.323440141067197,0.0
2,move_action_node,move,r2d2_wp_control_wp1,False,0.0,,5.558670468364009,0.0,8.060819509,0.0,8.145320524254815,0.0,2.535949446737917,0.0
2,move_action_node,move,r2d2_wp1_wp_control,False,0.0,,5.257009904445575,0.0,10.050617759000001,0.0,9.787067134907456,0.0,4.688187604917408,0.0
2,move_action_node,move,r2d2_wp_control_wp2,False,0.0,,7.56348239967423,0.0,9.150615804000001,0.0,9.094876324097191,0.0,1.5648376123646468,0.0
2,move_action_node,move,r2d2_wp2_wp_control,False,0.0,,7.498706990907619,0.0,13.261120802,0.0,13.343732742424859,0.0,5.795458587262325,0.0
2,move_action_node,move,r2d2_wp_control_wp3,False,0.0,,7.1505525578351445,0.0,10.050572197000001,0.0,9.806797651781256,0.0,2.8025098210773587,0.0
2,move_action_node,move,r2d2_wp3_wp_control,False,0.0,,7.0862988084315965,0.0,11.700636450000001,0.0,11.870099051489856,0.0,4.682122682164346,0.0
2,move_action_node,move,r2d2_wp_control_wp4,False,0.0,,4.807601614034779,0.0,6.450877940000001,0.0,6.440723932947918,0.0,1.6392147231443892,0.0
2,move_action_node,move,r2d2_wp4_wp_control,False,0.0,,4.588803354430768,0.0,10.20076834,0.0,9.912243495497965,0.0,5.4965550477684175,0.0
